TeamID,GameID,GameDate,PointsFor,PointsAgainst,Assists,Rebounds,Steals,Blocks,FieldGoalPct,Win
BOS,22200001,2022-10-18,126,117,24,36,8,3,0.561,1
PHI,22200001,2022-10-18,117,126,16,31,8,3,0.5,0
GSW,22200002,2022-10-18,123,109,31,48,11,4,0.455,1
LAL,22200002,2022-10-18,109,123,23,48,12,4,0.426,0
DET,22200003,2022-10-19,113,109,31,41,11,4,0.426,1
ORL,22200003,2022-10-19,109,113,21,48,5,5,0.488,0
IND,22200004,2022-10-19,107,114,21,42,7,5,0.402,0
WAS,22200004,2022-10-19,114,107,21,53,5,10,0.457,1
ATL,22200005,2022-10-19,117,107,30,38,12,5,0.5,1
HOU,22200005,2022-10-19,107,117,25,54,4,3,0.429,0
BKN,22200006,2022-10-19,108,130,22,39,10,10,0.449,0
NOP,22200006,2022-10-19,130,108,31,61,9,4,0.49,1
MIA,22200007,2022-10-19,108,116,21,46,6,2,0.463,0
CHI,22200007,2022-10-19,116,108,23,46,12,6,0.441,1
TOR,22200008,2022-10-19,108,105,19,41,15,4,0.419,1
CLE,22200008,2022-10-19,105,108,25,38,5,5,0.494,0
MEM,22200009,2022-10-19,115,112,27,64,6,7,0.389,1
NYK,22200009,2022-10-19,112,115,28,54,7,5,0.404,0
MIN,22200010,2022-10-19,115,108,25,55,6,5,0.415,1
OKC,22200010,2022-10-19,108,115,22,57,6,6,0.384,0
SAS,22200011,2022-10-19,102,129,22,44,8,8,0.404,0
CHA,22200011,2022-10-19,129,102,26,51,7,10,0.511,1
UTA,22200012,2022-10-19,123,102,27,43,10,1,0.506,1
DEN,22200012,2022-10-19,102,123,21,35,10,3,0.482,0
PHX,22200013,2022-10-19,107,105,25,40,4,5,0.471,1
DAL,22200013,2022-10-19,105,107,17,40,6,4,0.467,0
SAC,22200014,2022-10-19,108,115,27,41,8,5,0.459,0
POR,22200014,2022-10-19,115,108,20,44,11,2,0.443,1
PHI,22200015,2022-10-20,88,90,17,44,6,5,0.434,0
MIL,22200015,2022-10-20,90,88,24,48,4,6,0.405,1
LAL,22200016,2022-10-20,97,103,23,38,13,5,0.351,0
LAC,22200016,2022-10-20,103,97,18,58,7,7,0.463,1
CHA,22200017,2022-10-21,112,124,30,37,9,4,0.454,0
NOP,22200017,2022-10-21,124,112,23,53,9,7,0.472,1
IND,22200018,2022-10-21,134,137,32,42,8,6,0.49,0
SAS,22200018,2022-10-21,137,134,34,37,9,4,0.543,1
WAS,22200019,2022-10-21,102,100,26,39,8,8,0.512,1
CHI,22200019,2022-10-21,100,102,19,38,8,3,0.418,0
ATL,22200020,2022-10-21,108,98,26,46,10,2,0.449,1
ORL,22200020,2022-10-21,98,108,16,44,9,7,0.412,0
BKN,22200021,2022-10-21,109,105,26,44,3,13,0.475,1
TOR,22200021,2022-10-21,105,109,25,41,9,4,0.488,0
MIA,22200022,2022-10-21,104,111,23,36,8,3,0.457,0
BOS,22200022,2022-10-21,111,104,17,43,4,11,0.519,1
NYK,22200023,2022-10-21,130,106,29,50,4,6,0.526,1
DET,22200023,2022-10-21,106,130,26,49,6,2,0.433,0
HOU,22200024,2022-10-21,122,129,18,45,4,6,0.473,0
MEM,22200024,2022-10-21,129,122,26,50,8,10,0.459,1
MIN,22200025,2022-10-21,126,132,20,60,5,7,0.458,0
UTA,22200025,2022-10-21,132,126,39,54,11,8,0.441,1
GSW,22200026,2022-10-21,123,128,34,35,10,3,0.477,0
DEN,22200026,2022-10-21,128,123,30,41,10,2,0.535,1
POR,22200027,2022-10-21,113,111,14,48,8,5,0.439,1
PHX,22200027,2022-10-21,111,113,31,41,14,1,0.457,0
PHI,22200028,2022-10-22,105,114,26,40,6,5,0.44,0
SAS,22200028,2022-10-22,114,105,27,43,5,7,0.483,1
IND,22200029,2022-10-22,124,115,28,59,7,15,0.437,1
DET,22200029,2022-10-22,115,124,26,53,5,3,0.389,0
ORL,22200030,2022-10-22,120,126,21,48,5,7,0.474,0
BOS,22200030,2022-10-22,126,120,24,37,5,6,0.483,1
MIA,22200031,2022-10-22,112,109,28,44,2,2,0.5,1
TOR,22200031,2022-10-22,109,112,24,37,9,5,0.425,0
CHI,22200032,2022-10-22,96,128,19,35,12,7,0.405,0
CLE,22200032,2022-10-22,128,96,32,48,4,5,0.565,1
MIL,22200033,2022-10-22,125,105,29,47,6,10,0.565,1
HOU,22200033,2022-10-22,105,125,20,47,9,6,0.387,0
DAL,22200034,2022-10-22,137,96,23,52,7,7,0.5,1
MEM,22200034,2022-10-22,96,137,20,29,4,8,0.43,0
DEN,22200035,2022-10-22,122,117,33,46,5,6,0.494,1
OKC,22200035,2022-10-22,117,122,29,47,10,5,0.447,0
SAC,22200036,2022-10-22,109,111,24,39,5,5,0.471,0
LAC,22200036,2022-10-22,111,109,24,40,8,3,0.506,1
LAL,22200037,2022-10-23,104,106,26,40,9,9,0.446,0
POR,22200037,2022-10-23,106,104,19,52,6,5,0.44,1
ATL,22200038,2022-10-23,109,126,23,45,8,9,0.411,0
CHA,22200038,2022-10-23,126,109,28,52,7,6,0.522,1
CLE,22200039,2022-10-23,117,107,19,48,10,5,0.427,1
WAS,22200039,2022-10-23,107,117,25,35,9,4,0.494,0
NOP,22200040,2022-10-23,121,122,30,45,8,6,0.471,0
UTA,22200040,2022-10-23,122,121,29,44,13,6,0.439,1
OKC,22200041,2022-10-23,106,116,24,42,7,4,0.436,0
MIN,22200041,2022-10-23,116,106,24,54,9,3,0.523,1
