PlayerID,Player_name,TeamID,Position,Age
1,Stephen Curry,GSW,PG,34
2,John Wall,LAC,PG,32
3,Russell Westbrook,LAC,PG,34
4,LeBron James,LAL,PF,38
5,Kevin Durant,PHO,PF,34
6,Bradley Beal,WAS,SG,29
7,Kawhi Leonard,LAC,SF,31
8,Paul George,LAC,SF,32
9,Giannis Antetokounmpo,MIL,PF,28
10,Damian Lillard,POR,PG,32
11,Klay Thompson,GSW,SF,32
12,Kyrie Irving,DAL,PG-SG,30
13,Rudy Gobert,MIN,C,30
14,Khris Middleton,MIL,SF,31
15,Anthony Davis,LAL,C,29
16,Jimmy Butler,MIA,PF,33
17,Tobias Harris,PHI,SF,30
18,Kemba Walker,DAL,PG,32
19,Trae Young,ATL,PG,24
20,Zach LaVine,CHI,SG,27
21,Ben Simmons,BRK,PG,26
22,Pascal Siakam,TOR,PF,28
23,Myles Turner,IND,C,26
24,Jrue Holiday,MIL,PG,32
25,Karl-Anthony Towns,MIN,PF,27
26,Devin Booker,PHO,SG,26
27,Andrew Wiggins,GSW,SF,27
28,Joel Embiid,PHI,C,28
29,CJ McCollum,NOP,SG,31
30,James Harden,PHI,PG,33
31,Jamal Murray,DEN,PG,25
32,Brandon Ingram,NOP,SF,25
33,D'Angelo Russell,MIN,PG,26
34,Donovan Mitchell,CLE,SG,26
35,Shai Gilgeous-Alexander,OKC,PG,24
36,Deandre Ayton,PHO,C,24
37,Kevin Love,MIA,PF,34
38,Jayson Tatum,BOS,SF,24
39,Bam Adebayo,MIA,C,25
40,De'Aaron Fox,SAC,PG,25
41,Gordon Hayward,CHO,SF,32
42,Jaylen Brown,BOS,SF,26
43,Chris Paul,PHO,PG,37
44,Kyle Lowry,MIA,PG,36
45,Jalen Brunson,NYK,PG,26
46,DeMar DeRozan,CHI,SF,33
47,Al Horford,BOS,C,36
48,Draymond Green,GSW,PF,32
49,Julius Randle,NYK,PF,28
50,John Collins,ATL,PF,25
51,Mike Conley,UTA,PG,35
52,Malcolm Brogdon,BOS,PG,30
53,Anfernee Simons,POR,SG,23
54,Terry Rozier,CHO,SG,28
55,Fred VanVleet,TOR,PG,28
56,Buddy Hield,IND,SF,30
57,Domantas Sabonis,SAC,C,26
58,Jerami Grant,POR,PF,28
59,Aaron Gordon,DEN,PF,27
60,Mikal Bridges,PHO,SF-SG,26
61,Jarrett Allen,CLE,C,24
62,Nicolas Batum,LAC,PF,34
63,Eric Gordon,LAC,SG,34
64,Spencer Dinwiddie,DAL,SG-PG,29
65,Caris LeVert,CLE,SG,28
66,Joe Harris,BRK,SF,31
67,Harrison Barnes,SAC,PF,30
68,Clint Capela,ATL,C,28
69,Evan Fournier,NYK,SG,30
70,Steven Adams,MEM,C,29
71,Jonathan Isaac,ORL,PF,25
72,OG Anunoby,TOR,SF,25
73,Marcus Smart,BOS,PG,28
74,Derrick White,BOS,SG,28
75,Dejounte Murray,ATL,SG,26
76,Mitchell Robinson,NYK,C,24
77,Duncan Robinson,MIA,SF,28
78,Norman Powell,LAC,SG,29
79,Collin Sexton,UTA,PG,24
80,Markelle Fultz,ORL,PG,24
81,Lauri Markkanen,UTA,PF,25
82,Marcus Morris,LAC,PF,33
83,Malik Beasley,UTA,SG,26
84,Luguentz Dort,OKC,SF,23
85,Will Barton,TOR,SG,32
86,Tyus Jones,MEM,PG,26
87,Derrick Rose,NYK,PG,34
88,Kevin Huerter,SAC,SG,24
89,Christian Wood,DAL,C,27
90,Kentavious Caldwell-Pope,DEN,SG,29
91,Brook Lopez,MIL,C,34
92,Patrick Beverley,CHI,SG-PG,34
93,Doug McDermott,SAS,SF,31
94,Luke Kennard,MEM,SG,26
95,Zion Williamson,NOP,PF,22
96,Jordan Clarkson,UTA,SG,30
97,Gary Harris,ORL,SG,28
98,Kyle Kuzma,WAS,PF,27
99,Josh Hart,POR,SF,27
100,Dorian Finney-Smith,DAL,PF,29
101,Kelly Olynyk,UTA,C,31
102,Chris Boucher,TOR,PF,30
103,Robert Covington,LAC,PF,32
104,Josh Richardson,SAS,SG,29
105,Ja Morant,MEM,PG,23
106,Danny Green,MEM,SG,35
107,Terrence Ross,PHO,SG,31
108,Reggie Jackson,LAC,PG,32
109,Dillon Brooks,MEM,SF,27
110,Richaun Holmes,SAC,C,29
111,Dwight Powell,DAL,C,31
112,Paolo Banchero,ORL,PF,20
113,RJ Barrett,NYK,SG,22
114,Bobby Portis,MIL,PF,27
115,DeAndre Jordan,DEN,C,34
116,Anthony Edwards,MIN,SG,21
117,Robert Williams,BOS,C,25
118,Cade Cunningham,DET,PG,21
119,Mo Bamba,ORL,C,24
120,Talen Horton-Tucker,UTA,SG,22
121,Jae Crowder,MIL,PF,32
122,Ivica Zubac,LAC,C,25
123,Reggie Bullock,DAL,SF,31
124,Alec Burks,DET,SG,31
125,De'Andre Hunter,ATL,SF,25
126,James Wiseman,DET,C,21
127,Landry Shamet,PHO,SG,25
128,Malik Monk,SAC,SG,24
129,Jalen Green,HOU,SG,20
130,Jakob Poeltl,TOR,C,27
131,Nerlens Noel,DET,C,28
132,Royce O'Neale,BRK,SF,29
133,Monte Morris,WAS,PG,27
134,Mason Plumlee,CHO,C,32
135,Alex Caruso,CHI,PG,28
136,Maxi Kleber,DAL,PF,31
137,Grayson Allen,MIL,SG,27
138,Darius Garland,CLE,PG,23
139,Isaiah Hartenstein,NYK,C,24
140,Kyle Anderson,MIN,PF,29
141,Victor Oladipo,MIA,SG,30
142,Daniel Theis,IND,C,30
143,LaMelo Ball,CHO,PG,21
144,Seth Curry,BRK,SG,32
145,Evan Mobley,CLE,PF,21
146,Gary Payton II,POR,SG,30
147,Dewayne Dedmon,MIA,C,33
148,De'Anthony Melton,PHI,SG,24
149,JaMychal Green,GSW,PF,32
150,Keegan Murray,SAC,SF,22
151,Kevon Looney,GSW,C,26
152,Thaddeus Young,TOR,PF,34
153,Delon Wright,WAS,PG,30
154,Patrick Williams,CHI,PF,21
155,Scottie Barnes,TOR,SF,21
156,Cedi Osman,CLE,SF,27
157,Coby White,CHI,SG,22
158,Zach Collins,SAS,C,25
159,Jaden Ivey,DET,SG,20
160,Taurean Prince,MIN,PF,28
161,Jae'Sean Tate,HOU,SF,27
162,Isaac Okoro,CLE,SF,22
163,Cody Martin,CHO,SF,27
164,Jalen Suggs,ORL,SG,21
165,Jaxson Hayes,NOP,C,22
166,Khem Birch,TOR,C,30
167,Bennedict Mathurin,IND,SG,20
168,Bruce Brown,DEN,SF,26
169,Caleb Martin,MIA,SF,27
170,Joe Ingles,MIL,SF,35
171,Onyeka Okongwu,ATL,C,22
172,Josh Giddey,OKC,PF,20
173,Rui Hachimura,WAS,PF,24
174,Rudy Gay,UTA,PF,36
175,Jevon Carter,MIL,PG,27
176,Shaedon Sharpe,POR,SG,19
177,Cameron Payne,PHO,PG,28
178,Justin Holiday,ATL,SF,33
179,Cam Reddish,POR,SF,23
180,Cameron Johnson,PHO,PF,26
181,Ricky Rubio,CLE,PG,32
182,Killian Hayes,DET,PG,21
