TeamID,Team_name,Team_division,Team_conference,Logo_url
ATL,Atlanta Hawks,Southeast,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/ATL.png
BOS,Boston Celtics,Atlantic,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/BOS.png
BKN,Brooklyn Nets,Atlantic,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/BRK.png
CHA,Charlotte Hornets,Southeast,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/CHA.png
CHI,Chicago Bulls,Central,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/CHI.png
CLE,Cleveland Cavaliers,Central,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/CLE.png
DAL,Dallas Mavericks,Southwest,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/DAL.png
DEN,Denver Nuggets,Northwest,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/DEN.png
DET,Detroit Pistons,Central,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/DET.png
GSW,Golden State Warriors,Pacific,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/GSW.png
HOU,Houston Rockets,Southwest,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/HOU.png
IND,Indiana Pacers,Central,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/IND.png
LAC,LA Clippers,Pacific,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/LAC.png
LAL,Los Angeles Lakers,Pacific,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/LAL.png
MEM,Memphis Grizzlies,Southwest,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/MEM.png
MIA,Miami Heat,Southeast,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/MIA.png
MIL,Milwaukee Bucks,Central,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/MIL.png
MIN,Minnesota Timberwolves,Northwest,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/MIN.png
NOP,New Orleans Pelicans,Southwest,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/NOP.png
NYK,New York Knicks,Atlantic,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/NYK.png
OKC,Oklahoma City Thunder,Northwest,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/OKC.png
ORL,Orlando Magic,Southeast,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/ORL.png
PHI,Philadelphia 76ers,Atlantic,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/PHI.png
PHX,Phoenix Suns,Pacific,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/PHO.png
POR,Portland Trail Blazers,Northwest,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/POR.png
SAC,Sacramento Kings,Pacific,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/SAC.png
SAS,San Antonio Spurs,Southwest,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/SAS.png
TOR,Toronto Raptors,Atlantic,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/TOR.png
UTA,Utah Jazz,Northwest,Western,https://cdn.ssref.net/req/202503281/tlogo/bbr/UTA.png
WAS,Washington Wizards,Southeast,Eastern,https://cdn.ssref.net/req/202503281/tlogo/bbr/WAS.png
