PlayerID,Points,FieldGoalPct,ThreePtPct,FtPct,Assists,Steals,Blocks,Turnovers,Rebounds,GamesPlayed,MinutesPlayed
1,29.4,0.493,0.427,0.915,6.3,0.9,0.4,3.2,6.1,56,34.7
2,11.4,0.408,0.303,0.681,5.2,0.8,0.4,2.4,2.7,34,22.2
3,15.9,0.436,0.311,0.656,7.5,1,0.5,3.5,5.8,73,29.1
4,28.9,0.5,0.321,0.768,6.8,0.9,0.6,3.2,8.3,55,35.5
5,29.1,0.56,0.404,0.919,5,0.7,1.4,3.3,6.7,47,35.6
6,23.2,0.506,0.365,0.842,5.4,0.9,0.7,2.9,3.9,50,33.5
7,23.8,0.512,0.416,0.871,3.9,1.4,0.5,1.7,6.5,52,33.6
8,23.8,0.457,0.371,0.871,5.1,1.5,0.4,3.1,6.1,56,34.6
9,31.1,0.553,0.275,0.645,5.7,0.8,0.8,3.9,11.8,63,32.1
10,32.2,0.463,0.371,0.914,7.3,0.9,0.3,3.3,4.8,58,36.3
11,21.9,0.436,0.412,0.879,2.4,0.7,0.4,1.8,4.1,69,33
12,27.1,0.494,0.379,0.905,5.5,1.1,0.8,2.1,5.1,60,37.4
13,13.4,0.659,0,0.644,1.2,0.8,1.4,1.7,11.6,70,30.7
14,15.1,0.436,0.315,0.902,4.9,0.7,0.2,2.2,4.2,33,24.3
15,25.9,0.563,0.257,0.784,2.6,1.1,2,2.2,12.5,56,34
16,22.9,0.539,0.35,0.85,5.3,1.8,0.3,1.6,5.9,64,33.4
17,14.7,0.501,0.389,0.876,2.5,0.9,0.5,1.2,5.7,74,32.9
18,8,0.421,0.25,0.81,2.1,0.2,0.2,0.4,1.8,9,16
19,26.2,0.429,0.335,0.886,10.2,1.1,0.1,4.1,3,73,34.8
20,24.8,0.485,0.375,0.848,4.2,0.9,0.2,2.5,4.5,77,35.9
21,6.9,0.566,0,0.439,6.1,1.3,0.6,2.3,6.3,42,26.3
22,24.2,0.48,0.324,0.774,5.8,0.9,0.5,2.4,7.8,71,37.4
23,18,0.548,0.373,0.783,1.4,0.6,2.3,1.7,7.5,62,29.4
24,19.3,0.479,0.384,0.859,7.4,1.2,0.4,2.9,5.1,67,32.6
25,20.8,0.495,0.366,0.874,4.8,0.7,0.6,3,8.1,29,33
26,27.8,0.494,0.351,0.855,5.5,1,0.3,2.7,4.5,53,34.6
27,17.1,0.473,0.396,0.611,2.3,1.2,0.8,1.3,5,37,32.2
28,33.1,0.548,0.33,0.857,4.2,1,1.7,3.4,10.2,66,34.6
29,20.9,0.437,0.389,0.769,5.7,0.9,0.5,2.4,4.4,75,35.3
30,21,0.441,0.385,0.867,10.7,1.2,0.5,3.4,6.1,58,36.8
31,20,0.454,0.398,0.833,6.2,1,0.2,2.2,4,65,32.8
